Source:,D:\Studia\5th_semester\bondyra_project\project\RC-Hotwheels\KiCad-Files\rc_hotwheels.kicad_sch,,,,,,,,,,,,
Date:,1/14/2024 18:13,,,,,,,,,,,,
Tool:,Eeschema 7.0.5,,,,,,,,,,,,
Generator:,D:\Studia\kicad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,,,,,,,,
Component Count:,14,,,,,,,,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor,Price 1 piece,Price 1 PCB,Price for 1 (10 pieces),Price 10 PCB,Price for 1 (100 piece),Price 100 PCB,
BT1,1,600mAh,Battery_Cell,Library:Battery_Pads,Single-cell battery,unknown/allegro,PLN 32.99,PLN 32.99,PLN 32.99,PLN 329.90,PLN 32.99,"PLN 3,299.00",
"C1, C2, C4",3,1uF,8.85012E+11,C1uF:CAPC2012X135N,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 1210 1000000pF X7R1210105K010DFCT10000,https://pl.farnell.com/en-PL,PLN 1.02,PLN 1.02,PLN 1.02,PLN 10.20,PLN 0.29,PLN 87.00,
C3,1,4.7uF,8.85012E+11,C1uF:CAPC2012X135N,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 1210 4700000pF X7R1210475K010DFCT10000,https://pl.farnell.com/en-PL,PLN 0.48,PLN 0.48,PLN 0.48,PLN 4.80,PLN 0.27,PLN 27.00,
C5,1,100nF,8.85012E+11,C1uF:CAPC2012X135N,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 1210 100000pF X7R1210104K050DFCT10000,https://pl.farnell.com/en-PL,PLN 0.21,PLN 0.21,PLN 0.21,PLN 2.10,PLN 0.18,PLN 18.00,
C6,1,10nF,8.85012E+11,C1uF:CAPC2012X135N,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 1210 10000pF X7R1210103K050DFCT10000,https://pl.farnell.com/en-PL,PLN 0.15,PLN 0.15,PLN 0.15,PLN 1.50,PLN 0.13,PLN 13.00,
IC1,1,BD6211F-E2,BD6211F-E2,BD6211F-E2:SOIC127P620X171-8N,"ROHM BD6211F-E2, Full Bridge Motor Driver Half-Bridge,, 8-Pin SOP",https://pl.farnell.com/en-PL,PLN 10.55,PLN 10.55,PLN 7.69,PLN 76.90,PLN 7.20,PLN 720.00,
IC2,1,MIC5504-3.3YM5-TR,MIC5504-3.3YM5-TR,MIC5504-3.3YM5-TR:SOT95P280X145-5N,"MICROCHIP - MIC5504-3.3YM5-TR - LDO VOLT REG, 0.3A, 3.3V, SOT-23-5",https://pl.farnell.com/en-PL,PLN 0.64,PLN 0.64,PLN 0.64,PLN 6.40,PLN 0.56,PLN 56.00,
S1,1,OS102011MS2QN1,OS102011MS2QN1,OS102011MA1QN1,Switch Slide Miniature SPDT 0.1A 12VDC Through Hole Slide Switch SPDT On-On 0.1 A@ 12 V dc Slide,https://pl.farnell.com/en-PL,PLN 2.79,PLN 2.79,PLN 2.79,PLN 27.90,PLN 2.02,PLN 202.00,
S3,1,Li-Ion battery charging ,TP4056,Library:Battery_Pads,Switch Slide Miniature SPDT 0.1A 12VDC Through Hole Slide Switch SPDT On-On 0.1 A@ 12 V dc Slide,unknown/allegro,PLN 2.99,PLN 2.99,PLN 2.99,PLN 29.90,PLN 2.99,PLN 299.00,
SM1,1,Motor_Servo,Motor_Servo,Library:Servo_Motor,"Servo Motor (Futaba, HiTec, JR connector)",unknown/allegro,PLN 9.88,PLN 9.88,PLN 9.88,PLN 98.80,PLN 9.88,PLN 988.00,
U1,1,STM32F070F6P6,STM32F070F6P6,STM32F070F6P6:SOP65P640X120-20N,Microprocessor,https://pl.farnell.com/en-PL,PLN 8.18,PLN 8.18,PLN 6.57,PLN 65.70,PLN 5.81,PLN 581.00,
U3,1,NRF24L01_Breakout,NRF24L01_Breakout_1,RF_Module:nRF24L01_Breakout,"Ultra low power 2.4GHz RF Transceiver, Carrier PCB",https://sklep.msalamon.pl/,PLN 5.99,PLN 5.99,PLN 5.99,PLN 59.90,PLN 5.99,PLN 599.00,
,1,,"Silnik szczotkowy DC 1,5V-3,5V klasy 130",,"DC motor 1,5V-3,5V",unknown/allegro,PLN 6.80,PLN 6.80,PLN 6.80,PLN 68.00,PLN 6.80,PLN 680.00,
,,,,,,,Total 1,Total 1 PCB,Total 10,Total 10 PCB,Total 100,Total 100 PCB,
,,,,,,,PLN 82.67,PLN 82.67,PLN 78.20,PLN 782.00,PLN 75.11,"PLN 7,569.00",
